Channel,Sub-Channel,Budget (£),% of Total,Reach (M),CPM (£),Rationale,Targeting Detail,Flight Dates
Linear TV,ITV Daytime,450000,10.7,15.2,29.61,"Mass reach, cost-efficient dayparts","Adults 16+, daytime slots",Apr-Jun 2026
Linear TV,ITV Peak,800000,19.0,18.5,43.24,"Prime inventory, high SOV","Adults 16+, peak entertainment",Apr-Jun 2026
Linear TV,Channel 4 Peak,650000,15.5,12.8,50.78,"Quality environment, brand-safe","Adults 16+, peak programming",Apr-Jun 2026
Linear TV,Channel 4 Daytime,350000,8.3,10.5,33.33,"Cost-efficient reach extension","Adults 16+, daytime",Apr-Jun 2026
CTV,ITVX,400000,9.5,12.8,31.25,"BVOD leader, catch-up audiences","Adults 18+, catch-up viewers",Apr-Jun 2026
CTV,Channel 4 Streaming,250000,6.0,9.5,26.32,"Young audience, streaming shift","Adults 18-44, on-demand",Apr-Jun 2026
CTV,YouTube CTV,600000,14.3,35.6,16.85,"Broad reach, connected TV growth","Adults 18+, smart TV users",Apr-Jun 2026
Digital Display,Programmatic Display,400000,9.5,N/A,N/A,"Retargeting, prospecting","Behavioral targeting, lookalikes",Apr-Jun 2026
Social,Meta (Facebook/Instagram),200000,4.8,N/A,N/A,"Social engagement, mobile-first","Age 25-54, gaming interests",Apr-Jun 2026
VOD,Sky AdSmart,100000,2.4,8.2,12.20,"Addressable TV, precision targeting","Household targeting, Sky households",Apr-Jun 2026

Total,N/A,4200000,100.0,N/A,N/A,N/A,N/A,N/A

Notes:
- Budget allocation based on available inventory and partner agreements
- Linear TV emphasized for rapid awareness building
- Targeting specifications to be refined during campaign setup
- Performance metrics and optimization strategy to follow
